Palette: 149
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.0
overseersMin: 0
overseersMax: 0
Subregion: Gilded Sanctuary
Subregion: Tangled Steeple
playerGuideOverseerSpawnChance: 0.0
Broken Shelters:
Room Setting Templates: Gilderd, Inside, Innerupper
Room_Attr: GATE_GS_AB: Centiwing-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GATE_GS_TM: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Gecko-Forbidden,MaracaSpider-Forbidden,BabyCroaker-Forbidden,LaserDrone-Forbidden,Sporantula-Forbidden,BouncingBall-Forbidden,Polliwog-Forbidden,FatFireFly-Forbidden,FlyingBigEel-Forbidden,Hoverfly-Forbidden,RedHorrorCenti-Forbidden,HunterSeeker-Forbidden,Scutigera-Forbidden,SurfaceSwimmer-Forbidden,Blizzor-Forbidden,MoleSalamander-Forbidden,SilverLizard-Forbidden,DivingBeetle-Forbidden,WaterBlob-Forbidden,WaterSpitter-Forbidden,Mosquito-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,ReaperLizard-Forbidden,Ancient-Forbidden,Mario-Forbidden,SnootShootNoot-Forbidden,
Room_Attr: GS_S05: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_S02: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_S01: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R01: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_R02: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R03: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_R04: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_R05: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R06: Centiwing-Like,FlyingBigEel-Forbidden,
Room_Attr: GS_R07: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R10: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R15: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_R17: Centiwing-Like,FlyingBigEel-Forbidden,
Room_Attr: GS_R08: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R11: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R12: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R16: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R09: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_R13: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_R14: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_G03: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G10: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G08: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G01: Centipede-Avoid,Centiwing-Like,SmallCentipede-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G02: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A09: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GS_A05: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A02: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GS_A01: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GS_A03: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A08: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A07: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A04: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_A06: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_A10: Centipede-Forbidden,Centiwing-Like,SmallCentipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G19: Centiwing-Like,FlyingBigEel-Forbidden,
Room_Attr: GS_G20: Centiwing-Like,FlyingBigEel-Forbidden,
Room_Attr: GS_G18: Centiwing-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G22: Centiwing-Like,FlyingBigEel-Forbidden,
Room_Attr: GS_G21: Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G09: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G23: Centiwing-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G17: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G11: Centiwing-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G07: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G24: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G06: Centipede-Like,Centiwing-Forbidden,SmallCentipede-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G16: Centipede-Stay,Centiwing-Forbidden,SmallCentipede-Stay,FlyingBigEel-Like,
Room_Attr: GS_G04: Centipede-Avoid,Centiwing-Like,SmallCentipede-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G26: Centipede-Avoid,Centiwing-Like,SmallCentipede-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G14: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G15: Centiwing-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G05: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_BH1: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G12: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G30: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Stay,
Room_Attr: GS_G32: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_G29: Salamander-Like,Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GS_G31: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Forbidden,
Room_Attr: GS_G13: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G28: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G27: Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
Room_Attr: GS_G25: Centipede-Avoid,Centiwing-Like,SmallCentipede-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,FlyingBigEel-Like,
