GATE_GS_AB: 473.0717,-1098.222,328.6088,-987.302,1,0
GS_A01: -1933.041,779.2548,-1502.265,649.4873,1,1
GS_A02: -1651.631,764.8618,-1242.39,648.8324,1,1
GS_A03: -1452.453,795.772,-1101.161,604.7287,1,1
GS_A04: -1301.406,584.5674,-1120.081,473.054,0,1
GS_A05: -1156.131,749.821,-949.4301,580.8324,1,1
GS_A06: -1025.406,570.5674,-870.0811,437.054,0,1
GS_A07: -785.8851,726.0344,-692.901,623.6535,1,1
GS_A08: -501.853,626.9053,-470.0623,487.3952,0,1
GS_A09: -471.6315,695.8618,-435.39,598.8324,1,1
GS_A10: -377.4055,511.5674,-333.0811,382.054,0,1
GS_G01: -215.6317,789.8621,-225.3901,641.8324,1,1
GS_G02: -230.039,620.8618,-211.9086,500.1659,1,1
GS_G03: -244.3135,380.4566,-201.9772,198.696,1,1
GS_G08: -82.13168,197.8203,-95.43184,172.8325,1,1
GS_G10: 289.6864,149.4566,52.02279,170.696,1,1
GS_R01: 227.0717,-2.221743,61.60857,47.69835,1,1
GS_R02: 829.0717,-17.22175,585.6085,-61.30154,1,1
GS_R03: 861.0717,-322.222,700.6086,-203.3018,1,1
GS_R04: 1014.072,-332.2218,831.6086,-196.3018,1,1
GS_R05: 1162.073,-280.2217,947.6089,-147.3016,1,1
GS_R06: 1187.073,-111.2216,979.6089,-32.30166,1,1
GS_R07: 360.0719,-178.2217,212.6089,-190.3016,1,1
GS_R08: 685.2256,-113.2218,463.9932,-184.0453,1,1
GS_R09: 520.5197,-226.1545,383.5228,-208.915,1,1
GS_R10: 502.0717,-451.2218,331.6088,-415.3017,0,1
GS_R11: 662.226,-339.5076,450.9933,-301.974,1,1
GS_R12: 672.2256,-522.5074,448.9933,-522.9739,1,1
GS_R13: 1005.687,-551.5435,823.0229,-411.304,1,1
GS_R14: 820.6862,-618.5435,637.0229,-401.304,1,1
GS_R15: 501.0717,-612.2217,335.6088,-527.3015,1,1
GS_R16: 499.2256,-790.5078,319.9935,-753.974,1,1
GS_R17: 461.0717,-983.2217,295.6088,-878.302,1,1
GS_S01: -1448.729,1015.597,-1074.463,818.9658,1,0
GS_S02: 340.271,38.597,236.5365,38.96581,0,0
GS_S05: 393.072,-610.2217,231.6088,-533.3015,1,0
OffScreenDen_GS: -588.9299,-1837.221,867.6086,-1118.968,1,1
Connection: GATE_GS_AB,GS_R17,11,19,22,7,1,3
Connection: GS_A01,GS_A02,111,15,14,20,3,3
Connection: GS_A02,GS_A03,58,5,15,26,0,2
Connection: GS_A03,GS_S01,34,85,25,4,1,3
Connection: GS_A03,GS_A05,57,56,16,70,0,2
Connection: GS_A03,GS_A04,27,16,2,31,3,2
Connection: GS_A04,GS_A06,103,26,4,32,0,2
Connection: GS_A05,GS_A07,109,31,7,21,0,2
Connection: GS_A05,GS_A06,59,30,24,38,3,1
Connection: GS_A06,GS_A08,56,14,7,24,3,3
Connection: GS_A07,GS_A09,120,25,12,36,0,2
Connection: GS_A08,GS_G02,109,24,7,22,0,2
Connection: GS_A08,GS_A10,85,6,17,33,3,1
Connection: GS_A09,GS_G01,61,29,5,7,3,3
Connection: GS_A10,GS_G03,51,23,5,113,0,3
Connection: GS_G01,GS_G02,24,3,16,34,3,1
Connection: GS_G02,GS_G03,38,6,38,115,3,1
Connection: GS_G03,GS_G08,39,21,22,27,0,2
Connection: GS_G08,GS_G10,52,15,9,16,0,2
Connection: GS_G10,GS_S02,85,6,24,22,3,1
Connection: GS_G10,GS_R08,134,6,33,103,3,1
Connection: GS_G10,GS_R01,42,5,25,39,3,1
Connection: GS_R01,GS_R07,51,6,15,64,3,1
Connection: GS_R02,GS_R08,3,30,43,80,3,3
Connection: GS_R03,GS_R04,45,28,3,25,0,2
Connection: GS_R04,GS_R05,43,65,17,29,0,3
Connection: GS_R04,GS_R13,39,3,42,67,3,1
Connection: GS_R05,GS_R06,33,30,17,5,2,3
Connection: GS_R07,GS_R09,43,8,6,26,3,2
Connection: GS_R08,GS_R09,3,45,47,60,2,0
Connection: GS_R08,GS_R11,2,6,14,31,2,2
Connection: GS_R09,GS_R10,26,7,31,64,3,1
Connection: GS_R10,GS_R15,20,7,17,30,3,1
Connection: GS_R11,GS_R12,23,7,25,80,3,1
Connection: GS_R12,GS_R14,41,75,12,13,1,3
Connection: GS_R12,GS_R15,17,15,42,14,3,0
Connection: GS_R13,GS_R14,13,7,50,11,3,3
Connection: GS_R15,GS_S05,6,10,31,16,2,0
Connection: GS_R15,GS_R16,31,3,33,75,3,1
Connection: GS_R16,GS_R17,30,10,42,35,2,1
